"Country Code","Short Name","Table Name","Long Name","2-alpha code","Currency Unit","Special Notes","Region","Income Group","WB-2 code","National accounts base year","National accounts reference year","SNA price valuation","Lending category","Other groups","System of National Accounts","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Latest population census","Latest household survey","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data",
"LCA","St. Lucia","St. Lucia","St. Lucia","LC","East Caribbean dollar","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","Latin America & Caribbean","Upper middle income","LC","2006","","Value added at basic prices (VAB)","Blend","","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 1995","Yes","2007","","2008","2005",
"LCN","Latin America & Caribbean (all income levels)","Latin America & Caribbean (all income levels)","Latin America & Caribbean (all income levels)","ZJ","","Latin America and Caribbean regional aggregate (including high-income economies).","","","ZJ","","","","","","","","","","","","","","","","","","","","","",
"LDC","Least developed countries: UN classification","Least developed countries: UN classification","Least developed countries: UN classification","XL","","Least developed countries (UN classification) aggregate.","","","XL","","","","","","","","","","","","","","","","","","","","","",
"LIC","Low income","Low income","Low income","XM","","Low income group aggregate. Low-income economies are those in which 2013 GNI per capita was $1,045 or less.","","","XM","","","","","","","","","","","","","","","","","","","","","",
"LIE","Liechtenstein","Liechtenstein","Principality of Liechtenstein","LI","Swiss franc","","Europe & Central Asia","High income: nonOECD","LI","1990","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","","","","Special trade system","","","2010","","","Yes","","","","",
"LKA","Sri Lanka","Sri Lanka","Democratic Socialist Republic of Sri Lanka","LK","Sri Lankan rupee","","South Asia","Lower middle income","LK","2002","","Value added at producer prices (VAP)","Blend","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2012","Demographic and Health Survey (DHS), 2006/07","Expenditure survey/budget survey (ES/BS), 2010","Yes","2013/ 2014","2010","2012","2005",
"LMC","Lower middle income","Lower middle income","Lower middle income","XN","","Lower middle income group aggregate. Lower-middle-income economies are those in which 2013 GNI per capita was between $1,046 and $4,125.","","","XN","","","","","","","","","","","","","","","","","","","","","",
"LMY","Low & middle income","Low & middle income","Low & middle income","XO","","Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2013 GNI per capita was $12,745 or less.","","","XO","","","","","","","","","","","","","","","","","","","","","",
"LSO","Lesotho","Lesotho","Kingdom of Lesotho","LS","Lesotho loti","Fiscal year end: March 31; reporting period for national accounts data: CY.","Sub-Saharan Africa","Lower middle income","LS","2004","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2006","Demographic and Health Survey (DHS), 2009","Expenditure survey/budget survey (ES/BS), 2002/03","","2010","","2009","2000",
"LTU","Lithuania","Lithuania","Republic of Lithuania","LT","Lithuanian litas","","Europe & Central Asia","High income: nonOECD","LT","2000","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","1990–95","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Expenditure survey/budget survey (ES/BS), 2008","Yes","2010","2010","2012","2007",
"LUX","Luxembourg","Luxembourg","Grand Duchy of Luxembourg","LU","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","LU","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","","Yes","2010","2009","2012","1999",
"LVA","Latvia","Latvia","Republic of Latvia","LV","Latvian lats","Country joined euro area on 1 January 2014; data in the WDI database are reported in lats.","Europe & Central Asia","High income: nonOECD","LV","2000","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","1987–95","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","World Health Survey (WHS), 2003","Integrated household survey (IHS), 2008","Yes","2010","2010","2012","2002",
"MAC","Macao SAR, China","Macao SAR, China","Macao Special Administrative Region of the People's Republic of China","MO","Macao pataca","On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.","East Asia & Pacific","High income: nonOECD","MO","2012","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2011","","","Yes","","2010","2012","",
"MAF","St. Martin (French part)","St. Martin (French part)","St. Martin (French part)","MF","Euro","","Latin America & Caribbean","High income: nonOECD","MF","","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","","","","","","","","","","","",
"MAR","Morocco","Morocco","Kingdom of Morocco","MA","Moroccan dirham","","Middle East & North Africa","Lower middle income","MA","1998","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2004","Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006","Expenditure survey/budget survey (ES/BS), 2007","","2012","2010","2012","2000",
"MCO","Monaco","Monaco","Principality of Monaco","MC","Euro","","Europe & Central Asia","High income: nonOECD","MC","1990","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","Special trade system","","","2008","","","Yes","","","","2009",
"MDA","Moldova","Moldova","Republic of Moldova","MD","Moldovan leu","","Europe & Central Asia","Lower middle income","MD","Original chained constant price data are rescaled.","1996","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology.","1990–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2004","Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2012","Yes","2011","2010","2012","2007",
"MDG","Madagascar","Madagascar","Republic of Madagascar","MG","Malagasy ariary","","Sub-Saharan Africa","Low income","MG","1984","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","1993","Malaria Indicator Survey (MIS), 2013","Priority survey (PS), 2010","","","2006","2012","2000",
"MDV","Maldives","Maldives","Republic of Maldives","MV","Maldivian rufiyaa","April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.","South Asia","Upper middle income","MV","2003","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2006","Demographic and Health Survey (DHS), 2009","Integrated household survey (IHS), 2010","Yes","","","2012","2008",
"MEA","Middle East & North Africa (all income levels)","Middle East & North Africa (all income levels)","Middle East & North Africa (all income levels)","ZQ","","Middle East and North Africa regional aggregate (including high-income economies).","","","ZQ","","","","","","","","","","","","","","","","","","","","","",
"MEX","Mexico","Mexico","United Mexican States","MX","Mexican peso","The new base year is 2008.","Latin America & Caribbean","Upper middle income","MX","2008","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology.","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","National Survey of Demographic Dynamics (ENADID), 2009","Integrated household survey (IHS), 2012","","2007","2010","2012","2009",
"MHL","Marshall Islands","Marshall Islands","Republic of the Marshall Islands","MH","U.S. dollar","Fiscal year ends on September 30; reporting period for national accounts data: FY.","East Asia & Pacific","Upper middle income","MH","2004","","Value added at basic prices (VAB)","IDA","","Country uses the 1968 System of National Accounts methodology.","","","","","General trade system","","","2011","","","","2011. Population and Housing Census.","","","",
"MIC","Middle income","Middle income","Middle income","XP","","Middle income group aggregate. Middle-income economies are those in which 2013 GNI per capita was between $1,046 and $12,745.","","","XP","","","","","","","","","","","","","","","","","","","","","",
"MKD","Macedonia","Macedonia, FYR","Former Yugoslav Republic of Macedonia","MK","Macedonian denar","April 2012 database update: Based on official statistics, national accounts data were revised for 2003 onward.","Europe & Central Asia","Upper middle income","MK","1995","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2002","Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2009","Yes","2007","2010","2012","2007",
"MLI","Mali","Mali","Republic of Mali","ML","CFA franc","","Sub-Saharan Africa","Low income","ML","1987","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2009","Demographic and Health Survey (DHS), 2012/13","Integrated household survey (IHS), 2009/10","","","","2012","2000",
"MLT","Malta","Malta","Republic of Malta","MT","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Middle East & North Africa","High income: nonOECD","MT","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","","Yes","2010","2008","2012","2002",
"MMR","Myanmar","Myanmar","Republic of the Union of Myanmar","MM","Myanmar kyat","Fiscal year end: March 31; reporting period for national accounts data: FY.","East Asia & Pacific","Low income","MM","2005/06","","Value added at producer prices (VAP)","IDA","","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","1983","Multiple Indicator Cluster Survey (MICS), 2009/10","","","2010","2003","2010","2000",
"MNA","Middle East & North Africa (developing only)","Middle East & North Africa","Middle East & North Africa (developing only)","XQ","","Middle East and North Africa regional aggregate (does not include high-income economies).","","","XQ","","","","","","","","","","","","","","","","","","","","","",
"MNE","Montenegro","Montenegro","Montenegro","ME","Euro","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.","Europe & Central Asia","Upper middle income","ME","2000","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","2011","Multiple Indicator Cluster Survey (MICS), 2005/06","Expenditure survey/budget survey (ES/BS), 2011","Yes","2010","","2012","2010",
"MNG","Mongolia","Mongolia","Mongolia","MN","Mongolian tugrik","","East Asia & Pacific","Lower middle income","MN","2005","","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","2010","Multiple Indicator Cluster Survey (MICS), 2010","Living Standards Measurement Study Survey (LSMS), 2012","Yes","2012","2008","2007","2009",
"MNP","Northern Mariana Islands","Northern Mariana Islands","Commonwealth of the Northern Mariana Islands","MP","U.S. dollar","","East Asia & Pacific","High income: nonOECD","MP","","","","","","Country uses the 1968 System of National Accounts methodology.","","","","","","","","2010","","","","2007","","","",
"MOZ","Mozambique","Mozambique","Republic of Mozambique","MZ","New Mozambican metical","","Sub-Saharan Africa","Low income","MZ","2003","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","1992–95","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2007","Demographic and Health Survey (DHS), 2011","Expenditure survey/budget survey (ES/BS), 2008/09","","2009/ 2010","","2012","2001",
"MRT","Mauritania","Mauritania","Islamic Republic of Mauritania","MR","Mauritanian ouguiya","April 2012 database update: Based on official government statistics, data were revised for 1991 onward; the base year for constant price series changed to 2004.","Sub-Saharan Africa","Lower middle income","MR","2004","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","2013","Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2008","","","","2012","2005",
"MUS","Mauritius","Mauritius","Republic of Mauritius","MU","Mauritian rupee","","Sub-Saharan Africa","Upper middle income","MU","2006","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","Special Data Dissemination Standard (SDDS)","2011","Reproductive Health Survey (RHS), 1991","","Yes","2013/ 2014","2010","2012","2003",
"MWI","Malawi","Malawi","Republic of Malawi","MW","Malawi kwacha","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2009.","Sub-Saharan Africa","Low income","MW","2009","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","2008","HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Integrated household survey (IHS), 2010/11","","2006/ 2007","2009","2011","2005",
"MYS","Malaysia","Malaysia","Malaysia","MY","Malaysian ringgit","Based on official government statistics, value added in services in constant and current prices have been revised from 1990 onward. National accounts data in constant prices have been linked back to 1960; the new base year is 2005.","East Asia & Pacific","Upper middle income","MY","2005","","Value added at producer prices (VAP)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2010","World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2012","Yes","2015","2010","2012","2005",
"NAC","North America","North America","North America","XU","","North America regional aggregate. There are no economies in North America classified as low or middle income.","","","XU","","","","","","","","","","","","","","","","","","","","","",
"NAM","Namibia","Namibia","Republic of Namibia","NA","Namibian dollar","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 1980 onward; the new base year is 2010.","Sub-Saharan Africa","Upper middle income","NA","2010","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2009/10","","2014","","2012","2002",
"NCL","New Caledonia","New Caledonia","New Caledonia","NC","CFP franc","","East Asia & Pacific","High income: nonOECD","NC","1990","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","Special trade system","","","2009","","","Yes","","","2012","",
"NER","Niger","Niger","Republic of Niger","NE","CFA franc","Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006.","Sub-Saharan Africa","Low income","NE","2006","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","1993","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2012","Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2007","","2004-2008","2002","2012","2005",
"NGA","Nigeria","Nigeria","Federal Republic of Nigeria","NG","Nigerian naira","Based on official government statistics released 6 April, 2014, national accounts data have been revised from 2010 onward; the new base year is 2010. The new GDP data are 60 to 75 percent higher than previously reported and incorporate improved data sources and methodology.","Sub-Saharan Africa","Lower middle income","NG","2010","","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology.","1971–98","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2006","Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2010","","2013","","2012","2005",
"NIC","Nicaragua","Nicaragua","Republic of Nicaragua","NI","Nicaraguan gold cordoba","April 2013 database update: Based on official government statistics, national accounts data were revised for 1994 onward; the base year changed to 2006.","Latin America & Caribbean","Lower middle income","NI","2006","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology.","1965–95","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2005","Reproductive Health Survey (RHS), 2006/2007","Living Standards Measurement Study Survey (LSMS), 2009","","2011","","2012","2001",
"NLD","Netherlands","Netherlands","Kingdom of the Netherlands","NL","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","NL","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Integrated household survey (IHS), 1999","Yes","2010","2008","2012","2008",
"NOR","Norway","Norway","Kingdom of Norway","NO","Norwegian krone","","Europe & Central Asia","High income: OECD","NO","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Income survey (IS), 2000","Yes","2010","2008","2012","2006",
"NPL","Nepal","Nepal","Nepal","NP","Nepalese rupee","Fiscal year end: July 14; reporting period for national accounts data: FY.","South Asia","Low income","NP","2000/01","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","Demographic and Health Survey (DHS), 2011","Living Standards Measurement Study Survey (LSMS), 2011","","2011/ 2012","2008","2011","2006",
"NRU","Nauru","Nauru","Nauru","NR","","","","","NR","","","","","","","","","","","","","","","","","","","","","",
"NZL","New Zealand","New Zealand","New Zealand","NZ","New Zealand dollar","Fiscal year end: March 31; reporting period for national accounts data: FY.","East Asia & Pacific","High income: OECD","NZ","2005/06","","Value added at basic prices (VAB)","","","Country uses the 1993 System of National Accounts methodology.","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","","2013","","Income survey (IS), 1997","Yes","2012","2009","2012","2002",
"OED","OECD members","OECD members","OECD members","OE","","OECD members aggregate (all, including developing countries).","","","OE","","","","","","","","","","","","","","","","","","","","","",
"OMN","Oman","Oman","Sultanate of Oman","OM","Rial Omani","","Middle East & North Africa","High income: nonOECD","OM","1988","","Value added at producer prices (VAP)","","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","Multiple Indicator Cluster Survey (MICS), 2012","","","2012/ 2013","2010","2012","2003",
"PAK","Pakistan","Pakistan","Islamic Republic of Pakistan","PK","Pakistani rupee","Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.","South Asia","Lower middle income","PK","2005/2006","","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","1998","Demographic and Health Survey (DHS), 2012/13","Integrated household survey (IHS), 2008","","2010","2006","2012","2008",
"PAN","Panama","Panama","Republic of Panama","PA","Panamanian balboa","","Latin America & Caribbean","Upper middle income","PA","2007","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2010","Living Standards Measurement Study Survey (LSMS), 2008","Integrated household survey (IHS), 2011","","2011","2001","2011","2000",
"PER","Peru","Peru","Republic of Peru","PE","Peruvian new sol","","Latin America & Caribbean","Upper middle income","PE","2007","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1985–90","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2007","Continuous Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2012","","2012","2010","2012","2000",
"PHL","Philippines","Philippines","Republic of the Philippines","PH","Philippine peso","Source for GNI and net income from abroad is changed to national statistical office from central bank. April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.","East Asia & Pacific","Lower middle income","PH","2000","","Value added at producer prices (VAP)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2010","Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2012","Yes","2012","2008","2012","2009",
"PLW","Palau","Palau","Republic of Palau","PW","U.S. dollar","Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.","East Asia & Pacific","Upper middle income","PW","2005","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","","","","Special trade system","","General Data Dissemination System (GDDS)","2010","","","Yes","","","2012","",
"PNG","Papua New Guinea","Papua New Guinea","The Independent State of Papua New Guinea","PG","Papua New Guinea kina","","East Asia & Pacific","Lower middle income","PG","1998","","Value added at producer prices (VAP)","Blend","","Country uses the 1993 System of National Accounts methodology.","1989","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","2011","Living Standards Measurement Study Survey (LSMS), 1996","Integrated household survey (IHS), 2009/10","","","","2012","2005",
"POL","Poland","Poland","Republic of Poland","PL","Polish zloty","","Europe & Central Asia","High income: OECD","PL","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Expenditure survey/budget survey (ES/BS), 2010","Yes","2010","2009","2012","2009",
"PRI","Puerto Rico","Puerto Rico","Puerto Rico","PR","U.S. dollar","Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: Based on data from the Instituto de Estadísticas de Puerto Rico, national accounts data were revised for 2001 onward.","Latin America & Caribbean","High income: nonOECD","PR","1954","","Value added at producer prices (VAP)","","","Country uses the 1968 System of National Accounts methodology.","","","","","General trade system","","","2010","Reproductive Health Survey (RHS), 1995/96","","Yes","2007","2006","","2005",
"PRK","Dem. People's Rep. Korea","Korea, Dem. Rep.","Democratic People's Republic of Korea","KP","Democratic People's Republic of Korean won","","East Asia & Pacific","Low income","KP","","","","","","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","","","","2008","Multiple Indicator Cluster Survey (MICS), 2009","","","","","","2005",
"PRT","Portugal","Portugal","Portuguese Republic","PT","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income: OECD","PT","2005","","Value added at basic prices (VAB)","","Euro area","Country uses the 1993 System of National Accounts methodology.","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Income survey (IS), 1997","Yes","2009","2009","2012","2002",
"PRY","Paraguay","Paraguay","Republic of Paraguay","PY","Paraguayan guarani","National accounts data have been revised from 1960 onward. The methodology and base year have not changed but the output of two hydroelectric plants (shared with neighboring countries) has been added raising GDP from previous estimates. On the supply side, it was added in ""gas, electricity and water."" On the demand side changes were mainly to exports, but also for imports, investment and consumption. National accounts price valuations for 1991 to 2012 have also been corrected and changed from VAP to VAB.","Latin America & Caribbean","Lower middle income","PY","1994","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","","2005","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","2012","Reproductive Health Survey (RHS), 2008","Integrated household survey (IHS), 2011","","2008","2002","2012","2000",
"PSE","West Bank and Gaza","West Bank and Gaza","West Bank and Gaza","PS","Israeli new shekel","","Middle East & North Africa","Lower middle income","GZ","2004","","Value added at basic prices (VAB)","","","Country uses the 1968 System of National Accounts methodology.","","","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2007","Multiple Indicator Cluster Survey (MICS), 2010","Integrated household survey (IHS), 2009","","","2010","","2005",
"PYF","French Polynesia","French Polynesia","French Polynesia","PF","CFP franc","","East Asia & Pacific","High income: nonOECD","PF","1990/91","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","Special trade system","","","2007","","","Yes","","","2012","",
"QAT","Qatar","Qatar","State of Qatar","QA","Qatari riyal","","Middle East & North Africa","High income: nonOECD","QA","2001","","Value added at producer prices (VAP)","","","Country uses the 1993 System of National Accounts methodology.","","2005","","","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","2010","Multiple Indicator Cluster Survey (MICS), 2012","","Yes","","2010","2012","2005",
"ROU","Romania","Romania","Romania","RO","New Romanian leu","National accounts have been revised based on data from the National Statistical Institute; the new base year is 2000.","Europe & Central Asia","Upper middle income","RO","2000","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1987–89, 1992","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Reproductive Health Survey (RHS), 1999","Labor force survey (LFS), 2010","Yes","2010","2010","2012","2009",
"RUS","Russia","Russian Federation","Russian Federation","RU","Russian ruble","","Europe & Central Asia","High income: nonOECD","RU","2000","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology.","1987–95","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012","Yes","2014","2010","2012","2001",
